Time_s,FP1_Fx,FP1_Fy,FP1_Fz,FP2_Fx,FP2_Fy,FP2_Fz
0.675000,2.003479,-1.121948,-5.045899,-1.041809,-2.083618,-3.784424
0.680000,1.843201,0.961670,-3.469055,-1.442505,-1.282227,-0.000000
0.685000,0.961670,1.362366,-9.145691,-1.202087,0.080139,-11.984009
0.690000,3.686401,-0.480835,1.261475,-1.121948,-0.560974,9.461060
0.695000,2.083618,-1.041809,-2.522949,-0.080139,-1.923340,0.315369
0.700000,0.721252,1.121948,-6.938111,0.160278,-0.641113,-3.784424
0.705000,2.564453,1.202087,-0.315369,1.202087,-0.160278,3.153687
0.710000,2.083618,-1.843201,1.576843,-1.121948,-0.160278,4.730530
0.715000,2.885010,-1.602783,-3.469055,-0.721252,-0.080139,-0.630737
0.720000,2.163757,-0.560974,-7.568848,-0.160278,-0.480835,5.676636
0.725000,3.365845,0.320557,-2.522949,1.202087,-1.282227,-9.145691
0.730000,2.484314,-0.961670,-8.514954,-0.721252,-2.163757,-2.207581
0.735000,4.327515,0.641113,-0.315369,-1.121948,-0.881531,6.307373
0.740000,1.682922,-1.121948,-9.776428,-2.243897,1.202087,-6.622742
0.745000,0.801392,-1.522644,-1.892212,-1.282227,-1.282227,-3.469055
0.750000,2.965149,-0.320557,-2.838318,-0.560974,-1.602783,-7.253479
0.755000,2.564453,-0.080139,-11.668640,-3.045288,0.320557,-6.307373
0.760000,1.923340,0.560974,-2.838318,-0.641113,0.881531,0.315369
0.765000,1.923340,-0.240417,0.315369,0.560974,-0.961670,0.946106
0.770000,1.923340,1.121948,-0.315369,-0.320557,-0.400696,-1.892212
0.775000,2.324036,0.240417,-3.469055,-0.160278,-0.641113,7.884216
0.780000,1.041809,-0.641113,4.415161,-0.721252,-0.641113,-4.730530
0.785000,2.484314,-2.404175,-4.099793,0.240417,-1.442505,-6.307373
0.790000,2.003479,-0.641113,-3.153687,-0.881531,0.240417,9.461060
0.795000,1.682922,-0.480835,-4.730530,-19.473816,6.010437,23.968018
0.800000,1.442505,0.240417,6.307373,-44.797792,16.829224,56.766359
0.805000,1.202087,0.160278,-3.153687,-42.714173,38.627076,140.654422
0.810000,2.885010,-0.721252,-4.730530,-83.344728,19.313538,277.209052
0.815000,3.686401,-0.240417,-5.045899,-68.839540,3.125427,518.150708
0.820000,2.564453,-1.282227,-11.353272,-118.926516,44.316957,822.166096
0.825000,1.843201,0.400696,-7.253479,-235.849554,60.905763,1075.722499
0.830000,1.602783,-1.041809,-13.876221,-224.630071,-128.142520,1123.658535
0.835000,1.121948,-0.400696,-4.099793,-55.937135,-175.745182,1223.315031
0.840000,2.644592,-1.763062,-11.037903,-48.564332,-129.104190,1196.824064
0.845000,3.926819,-0.320557,7.253479,-81.982363,-89.996279,1181.686368
0.850000,2.484314,-1.282227,4.099793,-152.665104,-61.707155,1179.794156
0.855000,2.484314,-0.560974,-4.730530,-240.337347,-27.968568,1161.187405
0.860000,1.923340,-1.041809,-4.730530,-240.337347,12.020874,1126.496853
0.865000,2.804871,-0.721252,-12.299378,-219.340886,33.017335,1103.790309
0.870000,3.125427,-2.163757,-3.469055,-219.180608,39.508607,1154.564664
0.875000,4.407654,-0.400696,-6.307373,-215.013372,42.313478,1220.476713
0.880000,1.121948,-1.682922,-6.622742,-180.553532,36.543458,1273.143280
0.885000,2.243897,-1.362366,-6.622742,-131.909061,20.916321,1339.055329
0.890000,3.045288,-0.641113,4.099793,-93.281985,2.324036,1396.137057
0.895000,2.163757,-1.121948,2.522949,-77.093874,9.296143,1445.019199
0.900000,2.324036,0.080139,2.838318,-50.647950,26.526063,1475.294591
0.905000,2.324036,1.362366,-0.000000,-25.404114,40.149720,1464.256687
0.910000,2.724732,0.480835,-1.892212,-6.010437,49.766420,1431.458347
0.915000,3.365845,0.400696,-0.315369,8.574890,54.654908,1390.460421
0.920000,2.003479,0.320557,-1.892212,16.107972,50.567811,1345.993440
0.925000,2.163757,1.923340,-5.676636,21.317017,47.923219,1293.642242
0.930000,2.243897,-0.320557,-9.145691,27.407593,53.212404,1248.859893
0.935000,2.083618,-0.721252,-9.461060,41.512086,53.853517,1190.516691
0.940000,1.121948,0.560974,-2.838318,63.790773,49.365724,1143.842129
