Time_s,FP1_Fx,FP1_Fy,FP1_Fz,FP2_Fx,FP2_Fy,FP2_Fz
1.005000,2.404175,-3.784424,-0.721252,91.518923,276.578315,12.341431
1.010000,4.648071,-0.630737,-0.000000,76.853456,211.612371,8.574890
1.015000,2.644592,3.469055,0.721252,57.139223,161.784122,9.135864
1.020000,3.205566,9.145691,-1.282227,48.884889,131.193362,7.533081
1.025000,4.407654,-7.884216,0.721252,31.414552,95.556704,4.167236
1.030000,2.243897,2.838318,-0.961670,20.195069,64.650575,0.480835
1.035000,2.163757,-0.000000,2.003479,13.864075,58.658571,-0.881531
1.040000,2.564453,0.315369,2.243897,5.449463,29.013917,2.083618
1.045000,0.480835,-10.722534,-0.080139,3.045288,22.706544,1.522644
1.050000,3.285706,-12.930115,-0.560974,0.400696,16.399170,0.080139
1.055000,1.602783,-5.992005,-0.641113,-2.484314,15.768433,-1.923340
1.060000,0.080139,-2.207581,-0.480835,1.362366,-0.630737,3.205566
1.065000,2.404175,-5.361267,0.961670,-1.041809,-2.838318,-1.442505
1.070000,0.641113,1.576843,0.480835,-0.721252,-0.315369,-0.801392
1.075000,2.484314,-6.307373,-0.801392,-0.320557,7.884216,0.400696
1.080000,1.522644,-0.000000,1.041809,1.041809,7.568848,1.041809
1.085000,2.804871,-8.199585,-1.041809,-0.400696,2.207581,1.522644
1.090000,1.923340,-2.522949,0.240417,-0.641113,5.676636,0.961670
1.095000,2.163757,-9.776428,-0.160278,0.721252,-9.461060,1.682922
1.100000,2.324036,-4.415161,2.003479,-1.682922,7.568848,1.442505
1.105000,3.526123,-2.838318,-0.480835,0.000000,7.568848,0.721252
1.110000,2.885010,-7.568848,0.240417,-0.560974,7.568848,-0.641113
1.115000,2.804871,1.892212,-0.080139,-0.160278,2.838318,0.801392
1.120000,1.522644,-4.099793,0.721252,-0.320557,-4.730530,1.282227
1.125000,2.564453,-7.253479,2.484314,0.080139,-7.568848,-0.480835
1.130000,2.404175,-1.892212,-1.442505,-0.480835,6.622742,-1.763062
1.135000,2.965149,-1.576843,0.641113,-1.121948,-3.153687,0.801392
1.140000,2.083618,-3.784424,-0.080139,-1.121948,6.938111,2.243897
1.145000,1.522644,-3.153687,2.003479,-1.843201,-2.522949,0.801392
1.150000,0.240417,6.307373,0.160278,-1.202087,11.984009,-1.121948
1.155000,2.804871,-3.153687,1.522644,-2.404175,-2.207581,-1.602783
1.160000,3.526123,-2.522949,0.320557,-1.202087,-6.938111,1.362366
1.165000,1.763062,-3.784424,-0.641113,-1.923340,7.884216,-0.160278
1.170000,2.083618,-11.984009,-0.320557,-3.606262,-6.307373,0.160278
1.175000,1.282227,-2.207581,-0.400696,-2.243897,1.892212,2.163757
1.180000,1.843201,0.315369,0.480835,-1.923340,3.784424,-4.167236
1.185000,2.404175,1.576843,0.801392,-0.480835,9.145691,-2.564453
1.190000,2.564453,-9.461060,0.641113,-2.965149,6.622742,1.923340
1.195000,2.885010,4.099793,-1.282227,-3.045288,5.676636,-0.721252
1.200000,2.243897,-9.145691,-0.080139,-1.923340,5.992005,1.041809
1.205000,0.801392,2.207581,0.721252,-2.644592,2.838318,1.602783
1.210000,3.125427,1.892212,1.282227,-2.564453,2.838318,1.682922
1.215000,2.484314,-5.045899,-1.442505,-1.682922,-6.622742,-1.041809
1.220000,1.121948,3.469055,-0.240417,-1.763062,1.892212,-0.641113
1.225000,1.763062,-0.315369,0.160278,-1.202087,1.892212,-0.400696
1.230000,1.843201,-4.099793,1.121948,-0.320557,-4.099793,3.045288
1.235000,1.282227,-4.730530,0.881531,-0.721252,3.153687,1.362366
1.240000,1.763062,-1.892212,0.961670,-0.961670,-3.153687,-0.400696
1.245000,0.320557,-0.315369,-0.320557,-1.041809,9.145691,0.560974
1.250000,3.285706,5.045899,-1.121948,0.240417,-3.784424,-1.442505
1.255000,2.484314,-0.630737,-1.682922,-0.240417,3.153687,0.000000
1.260000,3.125427,-3.784424,-0.961670,2.804871,6.622742,-1.282227
1.265000,1.602783,-4.099793,2.003479,0.721252,11.984009,0.721252
1.270000,1.763062,-5.992005,-0.881531,1.923340,-1.576843,0.160278
1.275000,2.564453,-7.568848,0.801392,0.641113,-1.261475,-0.480835
1.280000,3.205566,-2.207581,0.160278,0.400696,-16.714539,-0.240417
1.285000,3.285706,9.145691,0.240417,1.522644,-4.415161,-0.080139
1.290000,2.404175,-4.099793,-0.721252,0.721252,-6.307373,0.320557
1.295000,1.202087,2.207581,0.000000,2.324036,7.253479,-1.442505
1.300000,2.163757,5.045899,1.522644,0.961670,-4.099793,-1.202087
1.305000,1.202087,-2.838318,-0.641113,1.362366,-1.576843,-1.442505
1.310000,2.885010,0.946106,1.442505,-0.240417,6.938111,0.881531
1.315000,1.682922,-8.830322,1.843201,1.602783,-6.307373,-0.320557
1.320000,3.365845,-1.576843,0.881531,1.763062,-7.884216,-0.160278
1.325000,2.163757,-0.630737,1.522644,0.641113,10.091797,-0.400696
1.330000,2.243897,-5.361267,1.763062,0.961670,0.315369,0.881531
1.335000,1.442505,2.207581,0.721252,-0.320557,-4.415161,0.320557
1.340000,2.243897,0.315369,0.721252,1.282227,1.892212,-0.480835
1.345000,2.644592,-5.361267,-0.721252,-0.160278,-10.407166,0.400696
1.350000,2.965149,-0.630737,1.121948,-0.641113,-0.315369,0.480835
1.355000,3.045288,1.576843,1.602783,0.721252,2.522949,0.320557
1.360000,1.843201,-1.892212,-3.125427,-0.080139,-0.946106,1.522644
1.365000,2.324036,-6.307373,-0.400696,-1.202087,5.992005,0.080139
1.370000,2.404175,-3.784424,-0.480835,-0.560974,-2.207581,1.362366
1.375000,1.362366,-7.253479,-0.480835,-2.083618,7.884216,0.400696
1.380000,2.003479,-7.568848,0.320557,0.480835,-2.522949,-0.320557
1.385000,4.327515,-0.315369,0.560974,-1.522644,0.315369,0.320557
1.390000,1.362366,-6.307373,1.763062,0.480835,2.522949,1.522644
1.395000,3.285706,0.946106,0.721252,-0.080139,-5.361267,1.442505
1.400000,2.324036,10.407166,0.240417,-0.560974,-5.992005,0.480835
1.405000,2.965149,-2.207581,-0.560974,-2.163757,-3.784424,-1.843201
1.410000,2.083618,-7.884216,0.480835,-0.320557,4.099793,-0.320557
1.415000,1.362366,-3.153687,0.400696,-1.282227,2.838318,0.801392
1.420000,0.801392,-2.207581,1.121948,0.560974,3.469055,0.080139
1.425000,2.404175,1.261475,0.881531,0.320557,-3.153687,0.881531
1.430000,1.282227,-5.992005,0.240417,-0.160278,0.946106,0.961670
1.435000,0.721252,-8.199585,0.480835,-0.801392,-7.253479,0.160278
1.440000,0.400696,-3.469055,0.801392,-0.320557,-4.730530,-2.404175
1.445000,4.167236,-7.568848,0.801392,-2.083618,7.884216,0.480835
1.450000,2.083618,-9.145691,-0.400696,0.560974,-0.630737,0.400696
1.455000,0.641113,-1.261475,-0.160278,-1.202087,-1.892212,0.320557
1.460000,2.484314,0.630737,0.000000,-0.560974,0.946106,0.560974
1.465000,1.442505,5.676636,0.801392,-0.961670,-5.045899,0.641113
1.470000,1.442505,-4.099793,0.881531,-1.763062,7.568848,-1.843201
1.475000,2.243897,0.946106,0.160278,1.442505,-3.153687,-0.560974
1.480000,4.968628,0.315369,-0.721252,-0.160278,-1.261475,0.320557
1.485000,2.484314,-5.676636,1.362366,0.480835,-3.469055,0.721252
1.490000,2.644592,9.461060,-1.041809,-0.961670,-2.522949,0.480835
1.495000,0.801392,0.315369,0.240417,-1.121948,7.253479,-0.480835
1.500000,2.804871,-10.407166,1.843201,-0.080139,-4.099793,0.801392
1.505000,3.045288,-8.514954,0.080139,0.480835,4.730530,0.641113
1.510000,1.682922,-2.838318,0.801392,-0.080139,-5.992005,-0.480835
1.515000,3.285706,-2.838318,-0.881531,0.881531,13.560852,-0.400696
1.520000,2.003479,5.676636,0.080139,0.721252,-0.946106,0.400696
